ID,Date,Customer,Gender,City,Distributors,Branch,Manager,Product,Category,Price,Cost,Qty,Total_Sales,cogs,Profit
88065565524,2020-06-18,Mignon Q Dills,Female,Auburn,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,5,2,10000,50000,20000,30000
88065565525,2020-06-19,Casey D Krier,Male,Betavia,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,18,15,2300,41400,34500,6900
88065565526,2020-06-20,Scott K Ricco,Female,Beacon,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,10,7,7800,78000,54600,23400
88065565527,2020-06-21,Rosemarie K Fellows,Female,Choes,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Non Alcoholic,20,17,450,9000,7650,1350
88065565528,2020-06-22,Lisette F Cowley,Female,Fulton,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,70,67,2000,140000,134000,6000
88065565529,2020-06-23,Molly U Rasch,Female,Geneva,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,15,12,123,1845,1476,369
88065565530,2020-06-24,Felisha Q Ettinger,Female,Elmira,Twanna Y Manges,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,12,9,12903,154836,116127,38709
88065565531,2020-06-25,Linwood H Carter,Male,Glen Cove,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,18,15,100000,1800000,1500000,300000
88065565532,2020-06-26,Madelyn W Boos,Female,Glens Falls,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,23,20,12000,276000,240000,36000
88065565533,2020-06-27,Angelo B Fitzmaurice,Male,Hornell ,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,9,6,60,540,360,180
88065565534,2020-06-28,Gregory I Kidwell,Female,Hudson,Twanna Y Manges,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,18,15,89,1602,1335,267
88065565535,2020-06-29,Bart B Gilcrease,Male,Johnstown,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,52,49,77,4004,3773,231
88065565536,2020-06-30,Warner I Manly,Male,Kingston,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,9,6,68,612,408,204
88065565537,2020-07-01,Lala R Denman,Female,Little Falls,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,5,2,15,75,30,45
88065565538,2020-07-02,Elsie S Depaz,Female,Lockport,Twanna Y Manges,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,14,11,47,658,517,141
88065565539,2020-07-03,Verla H Contreras,Female,Long Beach,Reatha Q Breazeale,Main Street,Ben Frech,Boost,Alcoholic,6,3,6,36,18,18
88065565540,2020-07-04,America V Lobel,Female,Middletown,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,10,7,10,100,70,30
88065565541,2020-07-05,Walter R Seddon,Female,Mount,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,13,10,11,143,110,33
88065565542,2020-07-06,Margarito M Oxendine,Male,New York,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,20,17,60,1200,1020,180
88065565543,2020-07-07,Arnoldo D Mckeen,Male,Newburgh,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,15,12,89,1335,1068,267
88065565544,2020-07-08,Kieth D Castelli,Male,Olean,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,20,17,77,1540,1309,231
88065565545,2020-07-09,Ngoc P Pogue,Female,Peekskill,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,12,9,68,816,612,204
88065565546,2020-07-10,Delana I Selfridge,Female,Port Jervis,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,15,240,195,45
88065565547,2020-07-11,Liane U Grafton,Female,Poughkeepsie,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Non Alcoholic,70,67,100,7000,6700,300
88065565548,2020-07-12,Vikki N Lezama,Female,Rye ,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,3000,45000,36000,9000
88065565549,2020-07-13,Allyn O Farrior,Female,Rome,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,16,13,5000,80000,65000,15000
88065565550,2020-07-14,Glady Q Kump,Female,Rochester,Twanna Y Manges,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,20,17,300,6000,5100,900
88065565551,2020-07-15,Oscar R Bovee,Male,Salamanca,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,12,9,2000,24000,18000,6000
88065565552,2020-07-16,Valene Z Woodmansee,Female,Springs,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,12,9,600,7200,5400,1800
88065565553,2020-07-17,Richard C Truman,Male,Sherrill,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,18,15,1230,22140,18450,3690
88065565554,2020-07-18,Luigi G Lembo,Male,Syracuse,Twanna Y Manges,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,10,7,900,9000,6300,2700
88065565555,2020-07-19,Isaiah G Parrish,Male,Troy,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,2390,35850,28680,7170
88065565556,2020-07-20,Scott D Torrey,Male,Watertown,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,15,12,10000,150000,120000,30000
88065565557,2020-07-21,Shirl M Caraballo,Female,Watervliet,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,23,20,2300,52900,46000,6900
88065565558,2020-07-22,Robin Z Stewart,Male,Yakers,Twanna Y Manges,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,9,6,7800,70200,46800,23400
88065565559,2020-07-23,Shasta P Depuy,Female,New York,Reatha Q Breazeale,Main Street,Ben Frech,Boost,Alcoholic,18,15,450,8100,6750,1350
88065565560,2020-07-24,Jorge R Coghlan,Male,Hempstead,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,14,11,2000,28000,22000,6000
88065565561,2020-07-25,Myles G Strum,Male,Brookhaven,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,30,27,123,3690,3321,369
88065565562,2020-07-26,Herlinda U Negron,Female,Islip,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,12903,206448,167739,38709
88065565563,2020-07-27,Debbie C Lipsey,Female,Babylon,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,52,49,100000,5200000,4900000,300000
88065565564,2020-07-28,Jenell S Sauers,Female,Albany,Antone E Angel,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,14,11,12000,168000,132000,36000
88065565565,2020-07-29,Leda Y Fabre,Female,Auburn,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,6,3,60,360,180,180
88065565566,2020-07-30,Edmundo R Rew,Male,Betavia,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,13,10,89,1157,890,267
88065565567,2020-07-31,Gerry D Woolery,Male,Beacon,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,15,12,77,1155,924,231
88065565568,2020-08-01,Berna Z Stoller,Female,Elmira,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,68,1360,1156,204
88065565569,2020-08-02,Adam B Katzer,Male,Glen Cove,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Alcoholic,12,9,15,180,135,45
88065565570,2020-08-03,Kellee L Gravelle,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,16,13,47,752,611,141
88065565571,2020-08-04,Shavon K Wescott,Female,Hempstead,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,6,120,102,18
88065565572,2020-08-05,Rozanne N Mielke,Female,Brookhaven,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,12,9,10,120,90,30
88065565573,2020-08-06,Randee O Cassity,Female,Glen Cove,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Alcoholic,10,7,11,110,77,33
88065565574,2020-08-07,Shemika D Porterfield,Female,Glens Falls,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,15,12,60,900,720,180
88065565575,2020-08-08,Donte H Granger,Male,Hornell ,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,89,1335,1068,267
88065565576,2020-08-09,Ahmed I Strope,Male,Hudson,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,20,17,77,1540,1309,231
88065565577,2020-08-10,Boris A Mccown,Male,Johnstown,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,12,9,68,816,612,204
88065565578,2020-08-11,Omer H Moultrie,Male,Kingston,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,13,10,15,195,150,45
88065565579,2020-08-12,Hiram K Stokely,Male,Little Falls,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,15,12,100,1500,1200,300
88065565580,2020-08-13,Deanna P Scoggin,Female,Lockport,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,14,11,3000,42000,33000,9000
88065565581,2020-08-14,Maris S Briggs,Female,Long Beach,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,30,27,5000,150000,135000,15000
88065565582,2020-08-15,Lona T Collar,Female,Middletown,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,300,4800,3900,900
88065565583,2020-08-16,Eldridge M Benningfield,Male,Mount,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,9,6,2000,18000,12000,6000
88065565584,2020-08-17,Jimmie A Rorie,Male,New York,Antone E Angel,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,5,2,600,3000,1200,1800
88065565585,2020-08-18,Rachelle M Burkhead,Female,Salamanca,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,18,15,1230,22140,18450,3690
88065565586,2020-08-19,Miguel P Karp,Male,Springs,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,10,7,900,9000,6300,2700
88065565587,2020-08-20,Raye T Willmon,Female,Sherrill,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,20,17,2390,47800,40630,7170
88065565588,2020-08-21,Christi H Amaker,Female,Syracuse,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,70,67,10000,700000,670000,30000
88065565589,2020-08-22,Liberty A Shroyer,Female,Troy,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Alcoholic,15,12,2300,34500,27600,6900
88065565590,2020-08-23,Zack H Mumaw,Male,Olean,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,12,9,7800,93600,70200,23400
88065565591,2020-08-24,Blanch Y Mysliwiec,Female,Peekskill,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,18,15,450,8100,6750,1350
88065565592,2020-08-25,Tammy Z Lorentz,Female,Port Jervis,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,23,20,2000,46000,40000,6000
88065565593,2020-08-26,Maximina K Frates,Female,Kingston,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Alcoholic,9,6,123,1107,738,369
88065565594,2020-08-27,Kiara G Abrahamson,Female,Little Falls,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,18,15,12903,232254,193545,38709
88065565595,2020-08-28,Retha G Nealy,Female,Lockport,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,52,49,100000,5200000,4900000,300000
88065565596,2020-08-29,Andre Q Maxon,Male,Long Beach,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,9,6,12000,108000,72000,36000
88065565597,2020-08-30,Vern T Lomeli,Male,Middletown,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,5,2,60,300,120,180
88065565598,2020-08-31,Erin K Stclair,Male,Watervliet,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,14,11,89,1246,979,267
88065565599,2020-09-01,Detra D Rymer,Female,Yakers,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,6,3,77,462,231,231
88065565600,2020-09-02,Doug B Southwick,Male,New York,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,10,7,68,680,476,204
88065565601,2020-09-03,Gia M Casas,Female,Hempstead,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,13,10,15,195,150,45
88065565602,2020-09-04,Emeline I Richer,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,20,17,47,940,799,141
88065565603,2020-09-05,Richard J Fetter,Male,Hempstead,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,15,12,6,90,72,18
88065565604,2020-09-06,Rick Y Haefner,Male,Brookhaven,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,20,17,10,200,170,30
88065565605,2020-09-07,Shannon J Force,Female,Islip,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,12,9,11,132,99,33
88065565606,2020-09-08,Gabriel E Pearsall,Female,Babylon,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,60,960,780,180
88065565607,2020-09-09,Geri M Tuthill,Female,Albany,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Non Alcoholic,70,67,89,6230,5963,267
88065565608,2020-09-10,Lauren R Hennessy,Male,Auburn,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,77,1155,924,231
88065565609,2020-09-11,Monty C Hughes,Male,Betavia,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,16,13,68,1088,884,204
88065565610,2020-09-12,Bryant L Kinsman,Male,Beacon,Twanna Y Manges,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,20,17,15,300,255,45
88065565611,2020-09-13,Giovanna M Clift,Female,Choes,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,12,9,100,1200,900,300
88065565612,2020-09-14,Tracie J Winebarger,Female,Fulton,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,12,9,3000,36000,27000,9000
88065565613,2020-09-15,Narcisa C Rayburn,Female,Geneva,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,18,15,5000,90000,75000,15000
88065565614,2020-09-16,Almeda M Dunford,Female,Elmira,Twanna Y Manges,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,10,7,300,3000,2100,900
88065565615,2020-09-17,Melida R Corle,Female,Glen Cove,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,2000,30000,24000,6000
88065565616,2020-09-18,Armando H Seaborn,Male,Glens Falls,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,15,12,600,9000,7200,1800
88065565617,2020-09-19,Efrain L Wass,Male,Hornell ,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,23,20,1230,28290,24600,3690
88065565618,2020-09-20,Edra M Guthrie,Female,Hudson,Twanna Y Manges,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,9,6,900,8100,5400,2700
88065565619,2020-09-21,Harland S Renshaw,Male,Johnstown,Reatha Q Breazeale,Main Street,Ben Frech,Boost,Alcoholic,18,15,2390,43020,35850,7170
88065565620,2020-09-22,Leroy H Styron,Male,Kingston,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,14,11,10000,140000,110000,30000
88065565621,2020-09-23,Maryln H Springfield,Female,Little Falls,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,30,27,2300,69000,62100,6900
88065565622,2020-09-24,Elenora S Whitehill,Female,Lockport,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,7800,124800,101400,23400
88065565623,2020-09-25,Izola E Ye,Female,Long Beach,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,52,49,450,23400,22050,1350
88065565624,2020-09-26,Dorethea U Engram,Female,Middletown,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,14,11,2000,28000,22000,6000
88065565625,2020-09-27,Anibal F Pieper,Male,Mount,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,6,3,123,738,369,369
88065565626,2020-09-28,Ula W Hartl,Female,New York,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,13,10,12903,167739,129030,38709
88065565627,2020-09-29,Latanya C Law,Female,Newburgh,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Non Alcoholic,15,12,100000,1500000,1200000,300000
88065565628,2020-09-30,Brent U Perlman,Male,Olean,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,20,17,12000,240000,204000,36000
88065565629,2020-10-01,Eveline B Strecker,Female,Peekskill,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,12,9,60,720,540,180
88065565630,2020-10-02,Keila A Lucas,Female,Port Jervis,Twanna Y Manges,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,16,13,89,1424,1157,267
88065565631,2020-10-03,Aliza X Sammons,Female,Poughkeepsie,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,20,17,77,1540,1309,231
88065565632,2020-10-04,Bennie E Manfredi,Male,Rye ,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,12,9,68,816,612,204
88065565633,2020-10-05,Lucinda Z Borton,Female,Rome,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,10,7,15,150,105,45
88065565634,2020-10-06,Keila F Lofland,Female,Rochester,Twanna Y Manges,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,15,12,47,705,564,141
88065565635,2020-10-07,Royce K Goodwyn,Female,Salamanca,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,6,90,72,18
88065565636,2020-10-08,Rickey I Delk,Male,Springs,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,20,17,10,200,170,30
88065565637,2020-10-09,Delsie R Tennison,Female,Sherrill,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,12,9,11,132,99,33
88065565638,2020-10-10,Jayme B Shimer,Female,Syracuse,Twanna Y Manges,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,13,10,60,780,600,180
88065565639,2020-10-11,Gilbert M Wolfgram,Male,Troy,Reatha Q Breazeale,Main Street,Ben Frech,Boost,Alcoholic,15,12,89,1335,1068,267
88065565640,2020-10-12,Isabella X Russell,Female,Watertown,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,14,11,77,1078,847,231
88065565641,2020-10-13,Rueben X Pidgeon,Male,Watervliet,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,30,27,68,2040,1836,204
88065565642,2020-10-14,Raymond U Flavin,Male,Yakers,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,16,13,15,240,195,45
88065565643,2020-10-15,Larry K Mash,Male,New York,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,9,6,100,900,600,300
88065565644,2020-10-16,Nicolle A Crothers,Female,Hempstead,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,5,2,3000,15000,6000,9000
88065565645,2020-10-17,Gustavo F Rouse,Male,Brookhaven,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,18,15,5000,90000,75000,15000
88065565646,2020-10-18,Victoria H Musson,Female,Islip,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,10,7,300,3000,2100,900
88065565647,2020-10-19,Dawne Y Gardner,Female,Babylon,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,20,17,2000,40000,34000,6000
88065565648,2020-10-20,Newton L Cromartie,Male,Albany,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,70,67,600,42000,40200,1800
88065565649,2020-10-21,Doria Z Crouse,Female,Auburn,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,15,12,1230,18450,14760,3690
88065565650,2020-10-22,Gerry X Koh,Male,Betavia,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,12,9,900,10800,8100,2700
88065565651,2020-10-23,Audrea K Papineau,Female,Beacon,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,18,15,2390,43020,35850,7170
88065565652,2020-10-24,Rhett H Goode,Male,Elmira,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,23,20,10000,230000,200000,30000
88065565653,2020-10-25,Royal U Okeefe,Male,Glen Cove,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,9,6,2300,20700,13800,6900
88065565654,2020-10-26,Keith Q Ofarrell,Male,New York,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,18,15,7800,140400,117000,23400
88065565655,2020-10-27,Exie C Bradham,Female,Hempstead,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,52,49,450,23400,22050,1350
88065565656,2020-10-28,George U Clouser,Male,Brookhaven,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,9,6,2000,18000,12000,6000
88065565657,2020-10-29,Benny S Brinker,Male,Glen Cove,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,5,2,123,615,246,369
88065565658,2020-10-30,Forrest Q Zell,Male,Glens Falls,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,14,11,12903,180642,141933,38709
88065565659,2020-10-31,Audrie X Mccammon,Female,Hornell ,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,6,3,100000,600000,300000,300000
88065565660,2020-11-01,Marylyn K Ditto,Female,Hudson,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,10,7,12000,120000,84000,36000
88065565661,2020-11-02,Kori J Fairfax,Female,Johnstown,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,13,10,60,780,600,180
88065565662,2020-11-03,Lamar W Estill,Male,Kingston,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,20,17,89,1780,1513,267
88065565663,2020-11-04,Giuseppe D Chouinard,Male,Little Falls,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,15,12,77,1155,924,231
88065565664,2020-11-05,Khalilah A Campo,Female,Lockport,Reatha Q Breazeale,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,20,17,68,1360,1156,204
88065565665,2020-11-06,Darcel P Burford,Female,Long Beach,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,15,180,135,45
88065565666,2020-11-07,August C Navarette,Male,Middletown,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Non Alcoholic,16,13,47,752,611,141
88065565667,2020-11-08,Lanelle W Berlanga,Female,Mount,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,70,67,6,420,402,18
88065565668,2020-11-09,Allene T Lepe,Female,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,10,150,120,30
88065565669,2020-11-10,Eladia A Braggs,Female,Salamanca,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,16,13,11,176,143,33
88065565670,2020-11-11,Agnes D Doud,Female,Springs,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,20,17,60,1200,1020,180
88065565671,2020-11-12,Carlo B Ali,Male,Sherrill,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,89,1068,801,267
88065565672,2020-11-13,Emery P Sorrells,Male,Syracuse,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Non Alcoholic,12,9,77,924,693,231
88065565673,2020-11-14,Violet L Ertel,Female,Troy,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,18,15,68,1224,1020,204
88065565674,2020-11-15,Deeanna E Cluck,Female,Olean,Reatha Q Breazeale,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,10,7,15,150,105,45
88065565675,2020-11-16,Morgan K Rathbun,Male,Peekskill,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,100,1500,1200,300
88065565676,2020-11-17,Julius Q Stock,Male,Port Jervis,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Non Alcoholic,15,12,3000,45000,36000,9000
88065565677,2020-11-18,Palmer O Beamer,Male,Kingston,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,23,20,5000,115000,100000,15000
88065565678,2020-11-19,Vincent N Lennon,Male,Little Falls,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,9,6,300,2700,1800,900
88065565679,2020-11-20,Alexis D Bonelli,Male,Lockport,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,18,15,2000,36000,30000,6000
88065565680,2020-11-21,Claretta D Wingert,Female,Long Beach,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,14,11,600,8400,6600,1800
88065565681,2020-11-22,Cecily D Houser,Female,Middletown,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,30,27,1230,36900,33210,3690
88065565682,2020-11-23,Horacio S Salazar,Male,Watervliet,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,900,14400,11700,2700
88065565683,2020-11-24,Adelle E Brunner,Female,Yakers,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,52,49,2390,124280,117110,7170
88065565684,2020-11-25,Janessa M Drennen,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,14,11,10000,140000,110000,30000
88065565685,2020-11-26,Ewa B Staples,Female,Hempstead,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,6,3,2300,13800,6900,6900
88065565686,2020-11-27,Holley M Cathcart,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,13,10,7800,101400,78000,23400
88065565687,2020-11-28,Tim N Schueller,Male,Hempstead,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,15,12,450,6750,5400,1350
88065565688,2020-11-29,Therese Q Belden,Female,Brookhaven,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,2000,40000,34000,6000
88065565689,2020-11-30,Susann A Faucett,Female,Islip,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,12,9,123,1476,1107,369
88065565690,2020-12-01,Bryan J Stampley,Male,Babylon,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,16,13,12903,206448,167739,38709
88065565691,2020-12-02,Larisa X Strauss,Female,Albany,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,100000,2000000,1700000,300000
